source,target
"com.rohidekar.callgraph.GraphNode","java.lang.IllegalAccessError"
"dnl.utils.text.table.SeparatorPolicy","dnl.utils.text.table.TextTreeTable$TreeTableSeparatorPolicy"
"com.rohidekar.callgraph.GraphNode","java.lang.IllegalAccessError"
"com.rohidekar.callgraph.GraphNode","com.rohidekar.callgraph.GraphNodeInstruction"
"gr.gousiosg.javacg.stat.ClassVisitor","java.util.HashMap"
"gr.gousiosg.javacg.stat.ClassVisitor","org.apache.bcel.generic.ConstantPoolGen"
"gr.gousiosg.javacg.stat.ClassVisitor","org.apache.bcel.generic.MethodGen"
"gr.gousiosg.javacg.stat.ClassVisitor","com.rohidekar.callgraph.MyMethodVisitor"
"gr.gousiosg.javacg.stat.ClassVisitor","java.lang.StringBuilder"
"gr.gousiosg.javacg.stat.ClassVisitor","java.lang.StringBuilder"
"gr.gousiosg.javacg.stat.MethodVisitor","com.rohidekar.callgraph.MyInstruction"
"gr.gousiosg.javacg.stat.MethodVisitor","com.rohidekar.callgraph.MyInstruction"
"gr.gousiosg.javacg.stat.MethodVisitor","com.rohidekar.callgraph.MyInstruction"
"gr.gousiosg.javacg.stat.MethodVisitor","com.rohidekar.callgraph.DeferredSuperMethod"
"gr.gousiosg.javacg.stat.MethodVisitor","java.lang.StringBuilder"
"gr.gousiosg.javacg.stat.MethodVisitor","java.lang.StringBuilder"
"dnl.utils.text.table.TextTable","dnl.utils.text.table.TextTreeTable$TreeTableSeparatorPolicy"
"dnl.utils.text.table.TextTable","dnl.utils.text.table.TextTreeTable$TreeTableSeparatorPolicy"
"dnl.utils.text.table.TextTable","dnl.utils.text.table.TextTreeTable$TreeTableSeparatorPolicy"
"dnl.utils.text.table.TextTable","dnl.utils.text.table.TextTreeTableRenderer"
"org.apache.bcel.classfile.JavaClass","com.rohidekar.callgraph.DeferredParentContainment"
"dnl.utils.text.table.TextTableModel","javax.swing.table.AbstractTableModel"
"org.apache.bcel.classfile.JavaClass","com.rohidekar.callgraph.DeferredChildContainment"
"org.apache.bcel.classfile.JavaClass","com.rohidekar.callgraph.MyClassVisitor"
"com.rohidekar.callgraph.Relationships","com.rohidekar.callgraph.MyClassVisitor"
"dnl.utils.text.table.TextTreeTable$TreeTableSeparatorPolicy","dnl.utils.text.table.SeparatorPolicy"
"dnl.utils.text.table.LastRowSeparatorPolicy","dnl.utils.text.table.SeparatorPolicy"
"dnl.utils.text.table.TextTable","dnl.utils.text.table.TextTableRenderer"
"com.rohidekar.callgraph.MyInstruction","gr.gousiosg.javacg.stat.MethodVisitor"
"com.rohidekar.callgraph.DeferredSuperMethod","gr.gousiosg.javacg.stat.MethodVisitor"
"java.lang.StringBuilder","gr.gousiosg.javacg.stat.MethodVisitor"
"java.util.HashMap","gr.gousiosg.javacg.stat.ClassVisitor"
"org.apache.bcel.generic.ConstantPoolGen","gr.gousiosg.javacg.stat.ClassVisitor"
"org.apache.bcel.generic.MethodGen","gr.gousiosg.javacg.stat.ClassVisitor"
"com.rohidekar.callgraph.MyMethodVisitor","gr.gousiosg.javacg.stat.ClassVisitor"
"java.lang.StringBuilder","gr.gousiosg.javacg.stat.ClassVisitor"
"com.rohidekar.callgraph.MyTreeModel","javax.swing.tree.TreeModel"
