source,target
"com.itsoninc.saas.services.partner.plancycle.externalevent.SimSwapEventServiceImpl.getProvisionService()","ServiceContext.getInjector()"
"com.itsoninc.saas.services.partner.plancycle.externalevent.SimSwapEventServiceImpl.getProvisionService()","Injector.getInstance()"
"com.itsoninc.saas.services.partner.plancycle.ChargeHistoryInvoiceServiceImpl$3.apply()","SubscriberModel.SubscriberNetworkIds.getSubscriberNetworkIdsCount()"
"com.itsoninc.saas.services.partner.plancycle.ChargeHistoryInvoiceServiceImpl$3.apply()","SubscriberModel.SubscriberNetworkIds.getSubscriberNetworkIds()"
"com.itsoninc.saas.services.partner.plancycle.notification.event.CheckAnalysisOutputEventHandler$2.apply()","SubscriberModel.SubscriberNetworkIds.getSubscriberNetworkIdsCount()"
"com.itsoninc.saas.services.partner.plancycle.notification.event.CheckAnalysisOutputEventHandler$2.apply()","CheckAnalysisOutputEventHandler.access.000()"
"com.itsoninc.saas.services.partner.plancycle.notification.event.CheckAnalysisOutputEventHandler$2.apply()","AnalyticsModel.CustomerData.newBuilder()"
"com.itsoninc.saas.services.partner.plancycle.notification.event.CheckAnalysisOutputEventHandler$2.apply()","AnalyticsModel.CustomerData.Builder.clearSubscribers()"
"com.itsoninc.saas.services.partner.plancycle.notification.event.CheckAnalysisOutputEventHandler$2.apply()","SubscriberModel.SubscriberNetworkIds.getSubscriberNetworkIdsList()"
"com.itsoninc.saas.services.partner.plancycle.notification.event.CheckAnalysisOutputEventHandler$2.apply()","AnalyticsModel.CustomerData.Builder.addAllSubscribers()"
"com.itsoninc.saas.services.partner.plancycle.notification.event.CheckAnalysisOutputEventHandler$2.apply()","AnalyticsModel.CustomerData.Builder.build()"
"com.itsoninc.saas.services.partner.plancycle.job.TimeBasedTagNotificationServiceJob$1.apply()","TaggingNotificationEventActionResponse.getResponseState()"
"com.itsoninc.saas.services.partner.plancycle.job.TimeBasedTagNotificationServiceJob$1.apply()","TaggingNotificationEventActionResponse.TaggingNotificationEventActionResponseEnum.equals()"
"com.itsoninc.saas.services.partner.plancycle.job.TimeBasedTagNotificationServiceJob$1.apply()","IOPModel.IOPJobRecord.newBuilder()"
"com.itsoninc.saas.services.partner.plancycle.job.TimeBasedTagNotificationServiceJob$1.apply()","IOPModel.IOPJobRecord.Builder.mergeFrom()"
"com.itsoninc.saas.services.partner.plancycle.job.TimeBasedTagNotificationServiceJob$1.apply()","IOPModel.IOPJobRecord.Builder.setProcessingState()"
"com.itsoninc.saas.services.partner.plancycle.job.TimeBasedTagNotificationServiceJob$1.apply()","IOPModel.IOPJobRecord.Builder.build()"
