source,target
"com.itsoninc.saas.services.partner.cycleevent.process.cycle.AccountCycleEventServiceImpl.cycleFeeCycles()","FeeService.syncGetAllRecurringFees()"
"com.itsoninc.saas.services.partner.cycleevent.process.cycle.AccountCycleEventServiceImpl.cycleFeeCycles()","PlanModel.PlanOffer.hasMaxBillingCycles()"
"com.itsoninc.saas.services.partner.cycleevent.process.cycle.AccountCycleEventServiceImpl.cycleFeeCycles()","AccountCycleEventServiceImpl.updateSucceeded()"
"com.itsoninc.saas.services.partner.plancycle.job.SubscriptionInvoiceServiceJob.asyncExecute()","PlanCycleService.invoiceAccountSubscriptions()"
"com.itsoninc.saas.services.partner.plancycle.job.SubscriptionCycleServiceJob.asyncExecute()","PlanCycleService.cycleAccountSubscriptions()"
"com.itsoninc.saas.services.partner.plancycle.job.AccountCycleInvoiceServiceJob.asyncExecute()","PlanCycleService.invoiceAccountCycle()"
"com.itsoninc.saas.services.partner.cycleevent.process.CycleEventBase.doExpirePlanSubscription()","SubscriptionModel.SubscriptionChangeEvent.SubscriptionChangeReason.name()"
"com.itsoninc.saas.services.partner.cycleevent.process.CycleEventBase.doExpirePlanSubscription()","PlanSubscriptionUtil.addSubscriptionEvent()"
"com.itsoninc.saas.services.partner.plancycle.errorhandler.ServiceErrorHandlerRequestListener.onDequeue()","ServiceErrorModel.ServiceErrorHandlerRequest.hasPartnerId()"
"com.itsoninc.saas.services.partner.plancycle.errorhandler.ServiceErrorHandlerRequestListener.onDequeue()","ServiceErrorModel.ServiceErrorHandlerRequest.hasRequestId()"
"com.itsoninc.saas.services.partner.plancycle.errorhandler.ServiceErrorHandlerRequestListener.onDequeue()","ServiceErrorModel.ServiceErrorHandlerRequest.hasLogLevelType()"
"com.itsoninc.saas.services.partner.plancycle.errorhandler.ServiceErrorHandlerRequestListener.onDequeue()","ServiceErrorModel.ServiceErrorHandlerRequest.hasType()"
"com.itsoninc.saas.services.partner.plancycle.errorhandler.ServiceErrorHandlerRequestListener.onDequeue()","QueueJobResult.incrementFailedCount()"
"com.itsoninc.saas.services.partner.plancycle.errorhandler.ServiceErrorHandlerRequestListener.onDequeue()","ServiceErrorRequestHandler.handleServiceErrorRequest()"
"com.itsoninc.saas.services.partner.cycleevent.util.CycleEventSubscriptionUtil.isDueProcessing()","SubscriptionModel.PlanSubscription.hasPlanPurchase()"
"com.itsoninc.saas.services.partner.cycleevent.util.CycleEventSubscriptionUtil.isDueProcessing()","SubscriptionModel.PlanPurchase.hasUserRenew()"
"com.itsoninc.saas.services.partner.cycleevent.util.CycleEventSubscriptionUtil.isDueProcessing()","PlanModel.PlanOffer.hasIsRenewable()"
"com.itsoninc.saas.services.partner.plancycle.externalevent.WalletTransactionEventServiceImpl.processTxFailedEvent()","ServiceUtil.createEmptyFutureResponse()"
"com.itsoninc.saas.services.partner.plancycle.job.PlanExpirationEventServiceJob.asyncExecute()","IOPBaseService.findFreeTimeSlot()"
"com.itsoninc.saas.services.partner.plancycle.job.PlanExpirationEventServiceJob.asyncExecute()","PlanExpirationEventService.processIopJobRecord()"
"SuspendedAccountNotifyEvent.doNotifySuspendedAccountAction()","PartnerModel.Policy.hasNotifyIntervalInDays()"
"SuspendedAccountNotifyEvent.doNotifySuspendedAccountAction()","JobUtil.diffInDays()"
"SuspendedAccountNotifyEvent.doNotifySuspendedAccountAction()","NotificationVariableSubstitutionService.MergeVariableName.name()"
"SuspendedAccountNotifyEvent.doNotifySuspendedAccountAction()","SubscriberModel.SuspensionRecord.hasReason()"
"SuspendedAccountNotifyEvent.doNotifySuspendedAccountAction()","SubscriberModel.SuspensionReasonType.name()"
"SuspendedAccountNotifyEvent.doNotifySuspendedAccountAction()","SuspendedAccountNotifyEvent.createNotificationMessage()"
"SuspendedAccountNotifyEvent.doNotifySuspendedAccountAction()","SuspendedAccountNotifyEvent.sendNotification()"
"SuspendedAccountNotifyEvent.doNotifyTerminateAction()","PartnerModel.Policy.hasMaxSuspendedInDays()"
"SuspendedAccountNotifyEvent.doNotifyTerminateAction()","JobUtil.diffInDays()"
"SuspendedAccountNotifyEvent.doNotifyTerminateAction()","AccountActionService.terminateAccount()"
"JobUtil.acquireLock()","RemoteCacheClient.add()"
"com.itsoninc.saas.services.partner.plancycle.externalevent.ProvisionCompleteEventServiceImpl.completeEnrollment()","ProvisionCompleteEventServiceImpl.createNetworkProvisionRequest()"
"com.itsoninc.saas.services.partner.plancycle.externalevent.ProvisionCompleteEventServiceImpl.completeEnrollment()","ProvisionService.provision()"
"com.itsoninc.saas.services.partner.plancycle.accountaction.AccountActionServiceImpl.terminateAccountForInactiveSubscription()","AccountActionServiceImpl.findPlanSubscriptionsForAccount()"
"AccountActionServiceImpl.findPlanSubscriptionsForAccount()","PartnerModel.SearchRequest.PlanSubscriptionSortFieldType.Enum.name()"
"SuspendedSnidNotifyEvent.doNotifySuspendedSubscriberAction()","PartnerModel.Policy.hasNotifyIntervalInDays()"
"SuspendedSnidNotifyEvent.doNotifySuspendedSubscriberAction()","SubscriberModel.SubscriberNetworkId.hasAccountId()"
"com.itsoninc.saas.services.partner.cycleevent.util.CycleEventSubscriptionUtil.isAccountOrSubsciptionInactive()","CycleEventSubscriptionUtil.isActiveAccount()"
"com.itsoninc.saas.services.partner.cycleevent.util.CycleEventSubscriptionUtil.isAccountOrSubsciptionInactive()","CycleEventSubscriptionUtil.isActiveSubscription()"
"com.itsoninc.saas.services.partner.plancycle.accountaction.AccountActionServiceImpl.evaluateSubscriberChurn()","DateTimeUtils.currentTimeMillis()"
"com.itsoninc.saas.services.partner.plancycle.accountaction.AccountActionServiceImpl.evaluateSubscriberChurn()","SubscriberModel.SubscriberNetworkId.hasProvisionTimestamp()"
"com.itsoninc.saas.services.partner.plancycle.accountaction.AccountActionServiceImpl.evaluateSubscriberChurn()","SubscriberModel.ProvisioningState.equals()"
"com.itsoninc.saas.services.partner.plancycle.accountaction.AccountActionServiceImpl.evaluateSubscriberChurn()","SubscriberModel.SubscriberNetworkId.hasAccountId()"
"com.itsoninc.saas.services.partner.plancycle.accountaction.AccountActionServiceImpl.evaluateSubscriberChurn()","SubscriberNetworkIdService.findByAccountId()"
"com.itsoninc.saas.services.partner.cycleevent.process.invoice.InvoiceCycleEventServiceImpl.processInvoiceEvent()","InvoiceCycleEventServiceImpl.sendCycleEventInvoiceToOp()"
"com.itsoninc.saas.services.partner.plancycle.accountaction.AccountActionServiceImpl.detach()","SubscriberNetworkIdService.findByAccountId()"
"SuspendedDeviceNotifyEvent.doNotifySuspendedDeviceAction()","PartnerModel.Policy.hasNotifyIntervalInDays()"
"SuspendedDeviceNotifyEvent.doNotifySuspendedDeviceAction()","JobUtil.diffInDays()"
"SuspendedDeviceNotifyEvent.doNotifySuspendedDeviceAction()","DeviceModel.Device.hasSubscriberNetworkId()"
"com.itsoninc.saas.services.partner.plancycle.job.ChargeHistoryInvoiceJob.asyncExecute()","IOPBaseService.findFreeTimeSlot()"
