source,target
"com.itsoninc.saas.services.partner.cycleevent.process.CycleEventBase","java.lang.IllegalArgumentException"
"com.itsoninc.saas.services.partner.cycleevent.process.CycleEventBase","java.lang.IllegalArgumentException"
"com.itsoninc.saas.services.partner.cycleevent.process.CycleEventBase","com.itsoninc.saas.services.partner.cycleevent.process.invoice.InvoiceCycleEventServiceImpl$1"
"com.itsoninc.saas.services.partner.cycleevent.process.CycleEventBase","java.lang.IllegalArgumentException"
"com.itsoninc.saas.services.partner.cycleevent.process.CycleEventBase","java.lang.IllegalArgumentException"
"com.itsoninc.saas.services.partner.cycleevent.process.CycleEventBase","com.itsoninc.saas.services.partner.cycleevent.process.invoice.InvoiceCycleEventServiceImpl$2"
"com.itsoninc.saas.services.partner.cycleevent.process.CycleEventBase","java.util.ArrayList"
"com.itsoninc.saas.services.partner.cycleevent.process.CycleEventBase","com.itsoninc.saas.services.partner.cycleevent.process.invoice.InvoiceCycleEventServiceImpl$3"
"com.itsoninc.saas.services.partner.cycleevent.process.CycleEventBase","java.util.ArrayList"
"com.itsoninc.saas.services.partner.cycleevent.process.CycleEventBase","com.itsoninc.saas.services.partner.cycleevent.process.invoice.InvoiceCycleEventServiceImpl$4"
"com.itsoninc.saas.services.partner.cycleevent.process.CycleEventBase","com.itsoninc.saas.infrastructure.id.StringId"
"com.itsoninc.saas.services.partner.cycleevent.process.CycleEventBase","com.itsoninc.saas.infrastructure.id.StringId"
"com.itsoninc.saas.services.partner.cycleevent.process.CycleEventBase","java.util.HashMap"
"com.itsoninc.saas.services.partner.cycleevent.process.CycleEventBase","java.lang.IllegalArgumentException"
"com.itsoninc.saas.services.partner.cycleevent.process.CycleEventBase","com.itsoninc.saas.adapter.connector.UrlBuilder"
"com.itsoninc.saas.services.partner.cycleevent.process.CycleEventBase","com.itsoninc.saas.adapter.connector.ConnectionParameters"
"com.itsoninc.saas.services.partner.cycleevent.process.CycleEventBase","com.itsoninc.saas.adapter.connector.PostRequest"
"com.itsoninc.saas.services.partner.cycleevent.process.CycleEventBase","com.itsoninc.saas.services.partner.cycleevent.process.invoice.InvoiceCycleEventServiceImpl$5"
"com.itsoninc.saas.services.partner.cycleevent.process.CycleEventBase","java.util.ArrayList"
"com.itsoninc.saas.services.partner.cycleevent.process.CycleEventBase","java.util.ArrayList"
"com.itsoninc.saas.services.partner.cycleevent.process.CycleEventBase","com.itsoninc.saas.services.partner.cycleevent.status.RecordStatus"
"com.itsoninc.saas.services.partner.cycleevent.process.CycleEventBase","com.itsoninc.saas.services.partner.cycleevent.status.RecordStatus"
"com.itsoninc.saas.services.partner.cycleevent.process.CycleEventBase","com.itsoninc.saas.services.partner.cycleevent.status.RecordStatus"
"com.itsoninc.saas.services.partner.cycleevent.process.CycleEventBase","java.util.ArrayList"
"com.itsoninc.saas.services.partner.plancycle.accountaction.event.AbstractAccountManagementEvent","com.fasterxml.jackson.databind.ObjectMapper"
